UDPV	// User ID
15-2-2021	// Evaluation date
UDLV_LV_16_orientation	15-2-2021	17:42:05:301	// Source file name and timestamp
100.000	// Sampling rate
33.401	// Data capture period

0.020000	// MOE
0.629000	// BslLeft
0.623000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.139000	-0.777189	0.076503	0.178534	-0.721644	0.102324	0.210076	-0.613586	0.044885	-0.115523	-0.799543	0.074589	-0.157442	-0.740294	0.105563	-0.180189	-0.623674	0.040014	-0.069112	-0.605953	0.046694	-0.166522	-0.665116	0.485546	0.169408	-0.665432	0.494981	-0.195947	-0.636179	0.872795	0.183895	-0.637706	0.894369	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.032072	0.021534	0.206551	0.098260	-0.030102	0.498700	NaN	0.213878	
1	0.139042	-0.777193	0.076491	0.178572	-0.721630	0.102331	0.210066	-0.613632	0.044899	-0.115559	-0.799517	0.074590	-0.157391	-0.740285	0.105663	-0.180222	-0.623678	0.040045	-0.069161	-0.605982	0.046717	-0.165890	-0.665371	0.485740	0.170292	-0.665329	0.494966	-0.194649	-0.636260	0.872854	0.185272	-0.637006	0.894400	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.035734	0.019398	0.209297	0.099786	-0.030712	0.494733	NaN	0.213878	
2	0.139038	-0.777197	0.076467	0.178583	-0.721588	0.102287	0.210097	-0.613635	0.044974	-0.115495	-0.799539	0.074644	-0.157327	-0.740281	0.105714	-0.180210	-0.623692	0.040071	-0.069143	-0.605926	0.046731	-0.165260	-0.665495	0.485959	0.170902	-0.665235	0.494874	-0.193345	-0.636458	0.872989	0.186626	-0.636452	0.894367	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.037260	0.014515	0.214180	0.098565	-0.030102	0.491071	NaN	0.213878	
3	0.139076	-0.777197	0.076427	0.178652	-0.721602	0.102239	0.210134	-0.613632	0.044965	-0.115426	-0.799528	0.074690	-0.157239	-0.740239	0.105752	-0.180204	-0.623622	0.039993	-0.069168	-0.605947	0.046730	-0.164514	-0.665534	0.486008	0.171685	-0.664967	0.494727	-0.191838	-0.636508	0.872991	0.187973	-0.635907	0.894275	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.032682	0.016956	0.218148	0.097039	-0.029797	0.487408	NaN	0.213878	
4	0.139107	-0.777215	0.076325	0.178654	-0.721583	0.102179	0.210102	-0.613592	0.044859	-0.115419	-0.799488	0.074607	-0.157126	-0.740217	0.105755	-0.180205	-0.623634	0.039973	-0.069198	-0.605927	0.046674	-0.163588	-0.665684	0.486104	0.172532	-0.664809	0.494561	-0.190456	-0.636684	0.872902	0.189462	-0.635307	0.894163	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.037870	0.023670	0.223336	0.097650	-0.030102	0.483136	NaN	0.213878	
5	0.139141	-0.777243	0.076242	0.178734	-0.721566	0.102094	0.210100	-0.613579	0.044784	-0.115449	-0.799450	0.074505	-0.157019	-0.740173	0.105760	-0.180194	-0.623663	0.039967	-0.069137	-0.605928	0.046633	-0.162732	-0.665841	0.486226	0.173322	-0.664771	0.494429	-0.188989	-0.636829	0.872988	0.190949	-0.634847	0.894085	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.040922	0.020008	0.227913	0.098260	-0.030407	0.478253	NaN	0.213878	
6	0.139210	-0.777241	0.076238	0.178806	-0.721565	0.101965	0.210081	-0.613577	0.044789	-0.115373	-0.799423	0.074552	-0.156819	-0.740176	0.105846	-0.180212	-0.623588	0.039945	-0.069178	-0.606019	0.046636	-0.161988	-0.666013	0.486369	0.174231	-0.664734	0.494345	-0.187508	-0.637049	0.873131	0.192406	-0.634368	0.893996	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.035429	0.014820	0.232796	0.097039	-0.028881	0.473065	NaN	0.213878	
7	0.139216	-0.777236	0.076229	0.178839	-0.721587	0.101889	0.210075	-0.613583	0.044822	-0.115340	-0.799410	0.074649	-0.156697	-0.740188	0.105981	-0.180214	-0.623587	0.039969	-0.069115	-0.605944	0.046665	-0.161118	-0.666267	0.486571	0.175170	-0.664561	0.494201	-0.185913	-0.637316	0.873268	0.194031	-0.633825	0.893995	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.036955	0.011158	0.238594	0.096429	-0.027966	0.468793	NaN	0.213878	
8	0.139225	-0.777246	0.076180	0.178871	-0.721609	0.101881	0.210086	-0.613559	0.044857	-0.115236	-0.799439	0.074803	-0.156608	-0.740196	0.106096	-0.180206	-0.623605	0.039967	-0.069171	-0.605978	0.046699	-0.160094	-0.666325	0.486667	0.175904	-0.664634	0.494132	-0.184307	-0.637507	0.873345	0.195671	-0.633372	0.893925	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.040312	0.016651	0.244393	0.097650	-0.029186	0.461774	NaN	0.213878	
9	0.139282	-0.777253	0.076095	0.179036	-0.721578	0.101814	0.210069	-0.613595	0.044876	-0.115293	-0.799362	0.074744	-0.156538	-0.740169	0.106151	-0.180206	-0.623606	0.039985	-0.069140	-0.605980	0.046766	-0.159284	-0.666541	0.486815	0.176817	-0.664709	0.494062	-0.182648	-0.637770	0.873379	0.197264	-0.633099	0.893831	0.000000	0.000000	0.000000	0.000000	0.000000	0.772512	0.473285	NaN	-0.039396	0.023060	0.248970	0.094293	-0.028576	0.457196	NaN	0.213878	
