UDPV	// User ID
11-11-2020	// Evaluation date
UDLV_Constant_01_orientation	4-11-2020	15:01:48:310	// Source file name and timestamp
100.000	// Sampling rate
39.497	// Data capture period

0.020000	// MOE
0.587000	// BslLeft
0.563000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.167063	-0.833099	0.077996	0.202571	-0.775661	0.094330	0.224656	-0.668233	0.040511	-0.052022	-0.830055	0.076042	-0.086593	-0.769337	0.091143	-0.119878	-0.660005	0.038800	-0.015145	-0.640283	0.045535	-0.094047	-0.741777	0.461784	0.219017	-0.755297	0.441661	-0.124871	-0.734675	0.885293	0.244912	-0.741401	0.871218	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.025088	0.001747	0.324942	0.025182	0.005029	0.278948	NaN	0.220000	
1	0.167020	-0.833142	0.077878	0.202577	-0.775601	0.094222	0.224713	-0.668205	0.040468	-0.052091	-0.830059	0.075990	-0.086570	-0.769328	0.091037	-0.119876	-0.659964	0.038749	-0.015130	-0.640231	0.045510	-0.093909	-0.741700	0.461576	0.219054	-0.755302	0.441657	-0.124830	-0.734789	0.885227	0.244886	-0.741394	0.871154	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.024783	0.000221	0.325247	0.025182	0.005029	0.278643	NaN	0.220000	
2	0.167043	-0.833143	0.077835	0.202664	-0.775530	0.094134	0.224692	-0.668170	0.040368	-0.052091	-0.830062	0.075919	-0.086455	-0.769141	0.090818	-0.119881	-0.660013	0.038629	-0.015086	-0.640215	0.045423	-0.094050	-0.741785	0.461616	0.219046	-0.755258	0.441566	-0.124819	-0.734833	0.885092	0.244936	-0.741466	0.871117	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.024478	-0.000694	0.325247	0.026403	0.005334	0.278948	NaN	0.220000	
3	0.167051	-0.833115	0.077902	0.202666	-0.775537	0.094102	0.224681	-0.668158	0.040242	-0.052107	-0.830059	0.075976	-0.086410	-0.768998	0.090730	-0.119918	-0.659904	0.038606	-0.015123	-0.640196	0.045137	-0.094462	-0.741781	0.461812	0.218902	-0.755331	0.441595	-0.124786	-0.734611	0.885061	0.244836	-0.741415	0.871183	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.024173	-0.000694	0.325553	0.026403	0.005334	0.279558	NaN	0.220000	
4	0.167059	-0.833069	0.077987	0.202675	-0.775535	0.094134	0.224633	-0.668094	0.040161	-0.052066	-0.830024	0.076107	-0.086452	-0.768946	0.090793	-0.119908	-0.659825	0.038570	-0.015109	-0.640216	0.045092	-0.094045	-0.741746	0.461765	0.218874	-0.755198	0.441623	-0.124769	-0.734413	0.885078	0.244800	-0.741362	0.871290	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.024783	0.000221	0.325553	0.025487	0.005944	0.279863	NaN	0.220000	
5	0.167065	-0.833031	0.078112	0.202673	-0.775614	0.094204	0.224591	-0.668139	0.040189	-0.052091	-0.829986	0.076211	-0.086521	-0.768972	0.090959	-0.119942	-0.659793	0.038656	-0.015168	-0.640271	0.045210	-0.094174	-0.741762	0.461934	0.218864	-0.755115	0.441742	-0.124869	-0.734336	0.885220	0.244806	-0.741366	0.871409	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.024783	0.000832	0.326773	0.026708	0.003503	0.279558	NaN	0.220000	
6	0.167038	-0.833026	0.078134	0.202574	-0.775669	0.094283	0.224579	-0.668163	0.040394	-0.052106	-0.829986	0.076270	-0.086609	-0.769119	0.091116	-0.119940	-0.659834	0.038732	-0.015209	-0.640314	0.045336	-0.094139	-0.741766	0.461898	0.218884	-0.755175	0.441849	-0.124836	-0.734356	0.885327	0.244893	-0.741395	0.871464	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.023867	-0.000389	0.325858	0.026708	0.005639	0.280168	NaN	0.220000	
7	0.167025	-0.833083	0.078111	0.202559	-0.775709	0.094325	0.224649	-0.668243	0.040515	-0.052087	-0.830023	0.076177	-0.086665	-0.769281	0.091208	-0.119933	-0.659938	0.038815	-0.015176	-0.640285	0.045513	-0.094223	-0.741816	0.461945	0.218929	-0.755212	0.441855	-0.124889	-0.734486	0.885347	0.244765	-0.741355	0.871467	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.025699	-0.000694	0.325247	0.024572	0.005029	0.278643	NaN	0.220000	
8	0.167049	-0.833096	0.077936	0.202545	-0.775689	0.094315	0.224690	-0.668228	0.040558	-0.052085	-0.830063	0.076024	-0.086618	-0.769368	0.091191	-0.119903	-0.659990	0.038827	-0.015129	-0.640289	0.045562	-0.094080	-0.741704	0.461732	0.219022	-0.755220	0.441749	-0.124914	-0.734675	0.885309	0.244771	-0.741424	0.871263	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.023867	-0.000694	0.324942	0.027013	0.004113	0.279558	NaN	0.220000	
9	0.167056	-0.833146	0.077864	0.202621	-0.775667	0.094255	0.224722	-0.668205	0.040485	-0.052073	-0.830088	0.075950	-0.086571	-0.769391	0.091063	-0.119884	-0.660054	0.038723	-0.015097	-0.640300	0.045489	-0.094022	-0.741646	0.461614	0.219069	-0.755197	0.441720	-0.124872	-0.734625	0.885227	0.244765	-0.741430	0.871188	0.000000	0.000000	0.000000	0.000000	0.000000	0.587000	0.563000	NaN	-0.025088	0.000221	0.323722	0.027318	0.004113	0.280168	NaN	0.220000	
