UDPV	// User ID
4-12-2020	// Evaluation date
UDLV_LV_08_orientation	4-12-2020	15:40:00:289	// Source file name and timestamp
100.000	// Sampling rate
43.243	// Data capture period

0.020000	// MOE
0.668000	// BslLeft
0.663000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
10	0.116910	-0.840938	0.062036	0.169930	-0.776937	0.098382	0.200181	-0.652480	0.045541	-0.074508	-0.836678	0.060782	-0.117473	-0.766980	0.096614	-0.133336	-0.641776	0.045675	-0.022474	-0.626888	0.053606	0.184354	-0.759089	0.531661	-0.131946	-0.744808	0.539216	0.190573	-0.743187	0.950082	-0.148174	-0.752113	0.952976	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040972	-0.009547	0.392740	0.038395	0.018527	0.369183	NaN	0.213878	
11	0.116911	-0.840925	0.062064	0.170008	-0.776969	0.098453	0.200102	-0.652508	0.045649	-0.074507	-0.836719	0.060848	-0.117483	-0.766993	0.096635	-0.133384	-0.641781	0.045701	-0.022430	-0.626843	0.053671	0.184421	-0.759120	0.531742	-0.132041	-0.744827	0.539260	0.190493	-0.743181	0.950127	-0.148239	-0.752069	0.953019	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037921	-0.007105	0.393350	0.036870	0.018222	0.368878	NaN	0.213878	
12	0.116901	-0.840937	0.062073	0.170057	-0.777008	0.098539	0.200190	-0.652558	0.045750	-0.074504	-0.836673	0.060876	-0.117535	-0.767009	0.096699	-0.133376	-0.641798	0.045789	-0.022364	-0.626851	0.053812	0.184465	-0.759102	0.531790	-0.132047	-0.744783	0.539289	0.190469	-0.743153	0.950174	-0.148257	-0.751994	0.953040	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038226	-0.005580	0.393045	0.035954	0.019137	0.368572	NaN	0.213878	
13	0.116933	-0.840922	0.062021	0.169958	-0.777053	0.098547	0.200188	-0.652656	0.045743	-0.074489	-0.836642	0.060816	-0.117374	-0.766837	0.096540	-0.133396	-0.641813	0.045859	-0.022414	-0.626900	0.053819	0.184420	-0.759059	0.531759	-0.132125	-0.744745	0.539272	0.190413	-0.743172	0.950074	-0.148348	-0.751953	0.953028	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040972	-0.005885	0.393350	0.037785	0.017611	0.368878	NaN	0.213878	
14	0.116942	-0.840946	0.061959	0.169990	-0.777076	0.098476	0.200132	-0.652857	0.045677	-0.074426	-0.836626	0.060707	-0.117293	-0.766798	0.096472	-0.133351	-0.641882	0.045847	-0.022479	-0.626966	0.053796	0.184412	-0.759076	0.531698	-0.132124	-0.744750	0.539255	0.190404	-0.743179	0.950005	-0.148366	-0.751927	0.952989	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039141	-0.008936	0.391824	0.037785	0.018222	0.368267	NaN	0.213878	
15	0.116959	-0.840945	0.061872	0.169938	-0.777064	0.098482	0.200065	-0.652895	0.045538	-0.074428	-0.836666	0.060636	-0.117425	-0.766919	0.096625	-0.133379	-0.641863	0.045807	-0.022517	-0.626967	0.053679	0.184389	-0.759075	0.531632	-0.132208	-0.744702	0.539168	0.190437	-0.743183	0.949984	-0.148392	-0.751871	0.952927	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037615	-0.008631	0.392434	0.038090	0.018832	0.367962	NaN	0.213878	
16	0.116958	-0.840959	0.061863	0.170001	-0.777018	0.098367	0.200280	-0.652769	0.045523	-0.074415	-0.836703	0.060641	-0.117462	-0.766984	0.096631	-0.133359	-0.641840	0.045752	-0.022489	-0.626964	0.053601	0.184359	-0.759068	0.531674	-0.132223	-0.744696	0.539129	0.190364	-0.743198	0.949924	-0.148446	-0.751870	0.952927	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.007105	0.392129	0.038090	0.017306	0.368878	NaN	0.213878	
17	0.116929	-0.840962	0.061937	0.169969	-0.776985	0.098345	0.200182	-0.652632	0.045490	-0.074448	-0.836684	0.060674	-0.117461	-0.766963	0.096576	-0.133341	-0.641806	0.045710	-0.022539	-0.626936	0.053533	0.184294	-0.759095	0.531672	-0.132201	-0.744634	0.539089	0.190239	-0.743168	0.949962	-0.148500	-0.751824	0.952918	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039752	-0.007716	0.392129	0.037480	0.017611	0.369183	NaN	0.213878	
18	0.116903	-0.840957	0.062014	0.169936	-0.776967	0.098376	0.200107	-0.652564	0.045523	-0.074512	-0.836652	0.060757	-0.117495	-0.766976	0.096546	-0.133358	-0.641786	0.045667	-0.022472	-0.626880	0.053596	0.184234	-0.759103	0.531728	-0.132231	-0.744602	0.539102	0.190165	-0.743173	0.950036	-0.148567	-0.751778	0.952911	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.005885	0.392740	0.037785	0.019442	0.368572	NaN	0.213878	
19	0.116909	-0.840933	0.062055	0.170018	-0.776973	0.098447	0.200108	-0.652501	0.045640	-0.074502	-0.836652	0.060849	-0.117524	-0.766959	0.096614	-0.133385	-0.641801	0.045694	-0.022415	-0.626843	0.053714	0.184227	-0.759093	0.531764	-0.132277	-0.744662	0.539173	0.190136	-0.743139	0.950177	-0.148640	-0.751822	0.952948	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038531	-0.008021	0.392129	0.038395	0.017001	0.369488	NaN	0.213878	
