UDPV	// User ID
22-2-2021	// Evaluation date
UDLV_HV_15_orientation	22-2-2021	12:06:22:887	// Source file name and timestamp
100.000	// Sampling rate
32.956	// Data capture period

0.020000	// MOE
0.575000	// BslLeft
0.586000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.104264	-0.800353	0.069203	0.149022	-0.750248	0.092754	0.181123	-0.632509	0.038130	-0.090114	-0.817504	0.068080	-0.131641	-0.761668	0.091189	-0.140228	-0.642305	0.032497	-0.037590	-0.632754	0.042733	-0.146852	-0.719730	0.485911	0.151262	-0.714918	0.481545	-0.168303	-0.717474	0.886449	0.167024	-0.695549	0.893498	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.023972	0.005671	0.246559	0.023476	-0.018243	0.295682	NaN	0.175750	
1	0.104287	-0.800385	0.069221	0.149041	-0.750289	0.092785	0.181114	-0.632618	0.038278	-0.090095	-0.817459	0.068006	-0.131699	-0.761751	0.091358	-0.140227	-0.642354	0.032576	-0.037584	-0.632829	0.042851	-0.146864	-0.719939	0.485941	0.151317	-0.715091	0.481565	-0.168262	-0.717636	0.886475	0.167008	-0.695668	0.893483	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.023361	0.008418	0.246254	0.023476	-0.018548	0.294767	NaN	0.175750	
2	0.104311	-0.800411	0.069130	0.149115	-0.750346	0.092738	0.181130	-0.632703	0.038175	-0.090125	-0.817472	0.067901	-0.131691	-0.761733	0.091345	-0.140213	-0.642345	0.032571	-0.037623	-0.632863	0.042770	-0.146796	-0.720090	0.485899	0.151347	-0.715209	0.481500	-0.168201	-0.717812	0.886426	0.166956	-0.695832	0.893372	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.026108	0.009944	0.246254	0.024391	-0.017022	0.295377	NaN	0.175750	
3	0.104318	-0.800458	0.069085	0.149089	-0.750393	0.092624	0.181096	-0.632614	0.037851	-0.090117	-0.817558	0.067884	-0.131587	-0.761629	0.091150	-0.140185	-0.642236	0.032485	-0.037640	-0.632823	0.042618	-0.146762	-0.720350	0.485784	0.151315	-0.715370	0.481372	-0.168166	-0.717974	0.886322	0.166929	-0.696038	0.893289	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.024887	0.006587	0.245644	0.024086	-0.020989	0.294767	NaN	0.175750	
4	0.104273	-0.800490	0.068994	0.149100	-0.750357	0.092474	0.181034	-0.632483	0.037578	-0.090087	-0.817655	0.067915	-0.131512	-0.761469	0.090935	-0.140114	-0.642137	0.032301	-0.037698	-0.632828	0.042406	-0.146795	-0.720643	0.485722	0.151309	-0.715528	0.481292	-0.168092	-0.718157	0.886210	0.166893	-0.696260	0.893217	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.022446	0.004450	0.245644	0.024086	-0.019158	0.295377	NaN	0.175750	
5	0.104243	-0.800460	0.068977	0.148958	-0.750286	0.092440	0.181014	-0.632423	0.037531	-0.090094	-0.817728	0.068055	-0.131443	-0.761348	0.090713	-0.140069	-0.642054	0.032114	-0.037717	-0.632744	0.042317	-0.146820	-0.720820	0.485760	0.151283	-0.715537	0.481295	-0.168090	-0.718308	0.886198	0.166887	-0.696329	0.893239	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.023666	0.005976	0.246559	0.024696	-0.018853	0.293851	NaN	0.175750	
6	0.104313	-0.800432	0.069057	0.148987	-0.750316	0.092518	0.181036	-0.632330	0.037610	-0.090070	-0.817744	0.068158	-0.131467	-0.761404	0.090677	-0.140047	-0.642021	0.032088	-0.037731	-0.632694	0.042422	-0.146826	-0.720963	0.485888	0.151330	-0.715585	0.481381	-0.168045	-0.718423	0.886281	0.166966	-0.696392	0.893324	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.026108	0.009333	0.247170	0.024696	-0.021600	0.294767	NaN	0.175750	
7	0.104294	-0.800398	0.069151	0.149049	-0.750268	0.092617	0.181036	-0.632318	0.037765	-0.090052	-0.817730	0.068241	-0.131530	-0.761511	0.090865	-0.140167	-0.642194	0.032293	-0.037697	-0.632649	0.042581	-0.146858	-0.721076	0.486057	0.151335	-0.715596	0.481492	-0.168065	-0.718565	0.886419	0.167012	-0.696444	0.893444	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.024582	0.009333	0.246254	0.024391	-0.020379	0.296903	NaN	0.175750	
8	0.104316	-0.800411	0.069226	0.149072	-0.750295	0.092705	0.181060	-0.632447	0.038025	-0.090074	-0.817613	0.068186	-0.131646	-0.761691	0.091123	-0.140246	-0.642290	0.032500	-0.037656	-0.632736	0.042770	-0.146816	-0.721217	0.486151	0.151373	-0.715645	0.481590	-0.168053	-0.718761	0.886545	0.167013	-0.696474	0.893522	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.024277	0.005366	0.246559	0.024086	-0.020379	0.295988	NaN	0.175750	
9	0.104269	-0.800398	0.069176	0.149084	-0.750387	0.092737	0.181137	-0.632663	0.038230	-0.090105	-0.817523	0.068049	-0.131754	-0.761866	0.091339	-0.140278	-0.642360	0.032588	-0.037566	-0.632826	0.042895	-0.146819	-0.721370	0.486132	0.151445	-0.715774	0.481590	-0.168032	-0.718981	0.886617	0.166993	-0.696591	0.893494	0.000000	0.000000	0.000000	0.000000	0.000000	0.698025	0.463678	NaN	-0.024277	0.006892	0.246559	0.025612	-0.018548	0.295682	NaN	0.175750	
