UDPV	// User ID
5-3-2021	// Evaluation date
UDLV_Constant_17_orientation	5-3-2021	14:25:11:343	// Source file name and timestamp
100.000	// Sampling rate
33.893	// Data capture period

0.020000	// MOE
0.615000	// BslLeft
0.634000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
10	0.139169	-0.839343	0.075146	0.184867	-0.786768	0.108524	0.218480	-0.677551	0.036186	-0.070167	-0.840657	0.079252	-0.121386	-0.788684	0.105394	-0.165849	-0.687351	0.034622	-0.068373	-0.646163	0.042852	-0.122176	-0.736187	0.480801	0.196589	-0.721091	0.478382	-0.148792	-0.685055	0.888708	0.230512	-0.676368	0.890443	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.001443	0.319472	0.025916	-0.002826	0.236461	NaN	0.220000	
11	0.139078	-0.839359	0.075221	0.184803	-0.786715	0.108544	0.218473	-0.677471	0.036253	-0.070204	-0.840675	0.079299	-0.121420	-0.788619	0.105473	-0.165853	-0.687372	0.034642	-0.068377	-0.646117	0.042899	-0.122193	-0.736207	0.480810	0.196583	-0.721092	0.478501	-0.148811	-0.685118	0.888695	0.230539	-0.676499	0.890556	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.004190	0.318862	0.026527	0.002362	0.236461	NaN	0.220000	
12	0.139085	-0.839446	0.075173	0.184806	-0.786794	0.108512	0.218465	-0.677554	0.036263	-0.070238	-0.840725	0.079225	-0.121406	-0.788706	0.105413	-0.165840	-0.687463	0.034571	-0.068403	-0.646130	0.042946	-0.122109	-0.736210	0.480647	0.196548	-0.721146	0.478418	-0.148737	-0.685232	0.888576	0.230549	-0.676704	0.890527	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.004495	0.319167	0.030799	-0.000079	0.236155	NaN	0.220000	
13	0.139054	-0.839529	0.075076	0.184830	-0.786919	0.108427	0.218487	-0.677694	0.036201	-0.070206	-0.840737	0.079112	-0.121440	-0.788824	0.105347	-0.165868	-0.687613	0.034516	-0.068411	-0.646134	0.042912	-0.122042	-0.736192	0.480417	0.196450	-0.721222	0.478093	-0.148662	-0.685383	0.888407	0.230562	-0.676979	0.890362	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.002054	0.319778	0.028053	-0.001605	0.236461	NaN	0.220000	
14	0.139063	-0.839605	0.074986	0.184847	-0.787030	0.108409	0.218529	-0.677840	0.036104	-0.070188	-0.840799	0.079013	-0.121391	-0.788925	0.105284	-0.165857	-0.687719	0.034481	-0.068428	-0.646233	0.042916	-0.121919	-0.736236	0.480234	0.196410	-0.721363	0.477870	-0.148549	-0.685490	0.888273	0.230605	-0.677229	0.890229	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034319	-0.001443	0.319778	0.024696	-0.002826	0.236461	NaN	0.220000	
15	0.139059	-0.839588	0.074935	0.184895	-0.787105	0.108356	0.218514	-0.677858	0.036045	-0.070217	-0.840837	0.078993	-0.121400	-0.788921	0.105246	-0.165878	-0.687722	0.034482	-0.068428	-0.646279	0.042878	-0.121854	-0.736189	0.480174	0.196322	-0.721477	0.477803	-0.148542	-0.685484	0.888238	0.230602	-0.677485	0.890207	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.001138	0.318862	0.027137	-0.001300	0.236155	NaN	0.220000	
16	0.138980	-0.839629	0.075015	0.184824	-0.786984	0.108322	0.218413	-0.677840	0.035938	-0.070214	-0.840773	0.079033	-0.121416	-0.788840	0.105214	-0.165855	-0.687607	0.034460	-0.068430	-0.646291	0.042849	-0.121966	-0.736202	0.480331	0.196396	-0.721527	0.477946	-0.148567	-0.685548	0.888296	0.230585	-0.677600	0.890267	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.001443	0.317946	0.030494	0.003278	0.235545	NaN	0.220000	
17	0.138961	-0.839593	0.075178	0.184898	-0.786818	0.108424	0.218505	-0.677659	0.036186	-0.070233	-0.840745	0.079123	-0.121406	-0.788795	0.105282	-0.165830	-0.687466	0.034537	-0.068421	-0.646253	0.042827	-0.122059	-0.736201	0.480578	0.196503	-0.721552	0.478226	-0.148616	-0.685584	0.888459	0.230596	-0.677681	0.890482	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.002664	0.317946	0.026222	-0.001910	0.234935	NaN	0.220000	
18	0.139135	-0.839372	0.075237	0.184910	-0.786753	0.108540	0.218442	-0.677531	0.036265	-0.070211	-0.840691	0.079222	-0.121391	-0.788682	0.105383	-0.165869	-0.687363	0.034689	-0.068393	-0.646214	0.042867	-0.122090	-0.736336	0.480794	0.196586	-0.721576	0.478528	-0.148683	-0.685707	0.888655	0.230596	-0.677773	0.890603	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.000833	0.317946	0.024391	-0.003436	0.237071	NaN	0.220000	
19	0.139103	-0.839376	0.075262	0.184940	-0.786748	0.108572	0.218480	-0.677463	0.036321	-0.070219	-0.840704	0.079245	-0.121447	-0.788710	0.105433	-0.165818	-0.687334	0.034709	-0.068397	-0.646160	0.042850	-0.122118	-0.736580	0.480825	0.196570	-0.721668	0.478598	-0.148679	-0.685881	0.888660	0.230537	-0.677877	0.890618	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.000222	0.317641	0.028053	0.000226	0.237376	NaN	0.220000	
20	0.139079	-0.839446	0.075147	0.184875	-0.786852	0.108495	0.218464	-0.677578	0.036232	-0.070206	-0.840732	0.079151	-0.121410	-0.788803	0.105364	-0.165822	-0.687488	0.034603	-0.068402	-0.646129	0.042959	-0.122044	-0.736639	0.480628	0.196493	-0.721825	0.478456	-0.148645	-0.686142	0.888503	0.230522	-0.678076	0.890537	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034319	-0.004190	0.316421	0.027747	0.000531	0.237376	NaN	0.220000	
