UDPV	// User ID
4-12-2020	// Evaluation date
UDLV_Constant_07_orientation	4-12-2020	13:39:50:955	// Source file name and timestamp
100.000	// Sampling rate
35.685	// Data capture period

0.020000	// MOE
0.518000	// BslLeft
0.564000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.129071	-0.882196	0.080773	0.171674	-0.821550	0.107850	0.210015	-0.696209	0.046496	-0.095289	-0.868093	0.082081	-0.136875	-0.805432	0.105954	-0.163940	-0.678565	0.044154	-0.055211	-0.658801	0.051485	0.198237	-0.762744	0.496297	-0.152915	-0.768200	0.495188	0.198855	-0.740655	0.871021	-0.147283	-0.763911	0.868874	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.044294	-0.007856	0.323116	0.041294	0.004837	0.305129	NaN	0.220000	
1	0.129104	-0.882141	0.080753	0.171695	-0.821593	0.107963	0.210031	-0.696147	0.046623	-0.095273	-0.868027	0.082074	-0.136986	-0.805553	0.106080	-0.164022	-0.678624	0.044283	-0.055295	-0.658894	0.051601	0.198231	-0.762688	0.496267	-0.152922	-0.768254	0.495300	0.198922	-0.740580	0.870991	-0.147054	-0.763917	0.868887	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.044294	-0.010297	0.323422	0.042515	0.005142	0.304519	NaN	0.220000	
2	0.129134	-0.882120	0.080651	0.171725	-0.821671	0.107960	0.210042	-0.696329	0.046709	-0.095280	-0.868083	0.082033	-0.137037	-0.805773	0.106192	-0.164081	-0.678730	0.044436	-0.055323	-0.658986	0.051803	0.198263	-0.762703	0.496212	-0.152824	-0.768315	0.495292	0.198948	-0.740525	0.870932	-0.146937	-0.764152	0.868951	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.042463	-0.008466	0.322811	0.040989	0.005142	0.302688	NaN	0.220000	
3	0.129151	-0.882175	0.080540	0.171650	-0.821792	0.107839	0.210086	-0.696459	0.046657	-0.095221	-0.868094	0.081890	-0.137043	-0.805965	0.106202	-0.164089	-0.678828	0.044455	-0.055378	-0.659070	0.051781	0.198319	-0.762714	0.496046	-0.152723	-0.768424	0.495230	0.198987	-0.740440	0.870801	-0.146339	-0.764255	0.868805	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.044294	-0.007551	0.321896	0.040073	0.002701	0.302077	NaN	0.220000	
4	0.129208	-0.882200	0.080431	0.171711	-0.821807	0.107746	0.210074	-0.696531	0.046441	-0.095159	-0.868074	0.081744	-0.137005	-0.806006	0.106070	-0.164042	-0.678860	0.044305	-0.055390	-0.659045	0.051672	0.198341	-0.762708	0.495887	-0.152643	-0.768471	0.495149	0.199042	-0.740395	0.870715	-0.145979	-0.764364	0.868657	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.045515	-0.008161	0.321591	0.041904	0.003616	0.301162	NaN	0.220000	
5	0.129206	-0.882156	0.080312	0.171741	-0.821728	0.107610	0.210063	-0.696463	0.046277	-0.095157	-0.868090	0.081707	-0.136948	-0.805891	0.105909	-0.163975	-0.678813	0.044092	-0.055292	-0.658918	0.051586	0.198372	-0.762646	0.495821	-0.152617	-0.768523	0.495104	0.199160	-0.740360	0.870792	-0.146151	-0.764464	0.868708	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.043073	-0.006940	0.320370	0.039768	0.003922	0.301467	NaN	0.220000	
6	0.129141	-0.882199	0.080440	0.171689	-0.821666	0.107602	0.209971	-0.696368	0.046303	-0.095217	-0.868105	0.081771	-0.136906	-0.805710	0.105813	-0.163927	-0.678734	0.044021	-0.055228	-0.658855	0.051438	0.198504	-0.762630	0.495939	-0.152551	-0.768523	0.495108	0.199237	-0.740255	0.870885	-0.145633	-0.764414	0.868657	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.045209	-0.008161	0.321285	0.038547	0.004532	0.300246	NaN	0.220000	
7	0.129140	-0.882169	0.080582	0.171632	-0.821602	0.107700	0.209894	-0.696279	0.046413	-0.095273	-0.868126	0.081927	-0.136876	-0.805593	0.105852	-0.163907	-0.678666	0.044037	-0.055176	-0.658787	0.051428	0.198540	-0.762551	0.496092	-0.152546	-0.768494	0.495160	0.199320	-0.740254	0.870941	-0.145586	-0.764467	0.868589	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.045820	-0.009077	0.320980	0.040684	0.005142	0.300857	NaN	0.220000	
8	0.129153	-0.882101	0.080629	0.171565	-0.821565	0.107756	0.209963	-0.696208	0.046497	-0.095264	-0.868093	0.082017	-0.136822	-0.805510	0.105955	-0.163936	-0.678610	0.044123	-0.055277	-0.658901	0.051371	0.198528	-0.762474	0.496123	-0.152483	-0.768484	0.495283	0.199417	-0.740200	0.870965	-0.145756	-0.764568	0.868674	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.043378	-0.006635	0.321285	0.040378	0.004227	0.301467	NaN	0.220000	
9	0.129137	-0.882100	0.080667	0.171741	-0.821519	0.107861	0.210024	-0.696238	0.046591	-0.095266	-0.868095	0.082045	-0.136904	-0.805576	0.106071	-0.163969	-0.678599	0.044273	-0.055169	-0.658880	0.051620	0.198595	-0.762438	0.496116	-0.152469	-0.768412	0.495378	0.199509	-0.740175	0.870910	-0.146038	-0.764696	0.868811	0.000000	0.000000	0.000000	0.000000	0.000000	0.631960	0.439920	NaN	-0.044294	-0.005414	0.322201	0.040073	0.004837	0.301467	NaN	0.220000	
