UDPV	// User ID
2-12-2020	// Evaluation date
UDLV_HV_06_orientation	2-12-2020	12:41:35:294	// Source file name and timestamp
100.000	// Sampling rate
36.919	// Data capture period

0.020000	// MOE
0.632000	// BslLeft
0.649000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.108683	-0.978572	0.077484	0.155476	-0.922835	0.104701	0.192744	-0.816942	0.043966	-0.089375	-0.979788	0.081932	-0.125240	-0.912595	0.099654	-0.143208	-0.815375	0.043163	-0.046390	-0.797030	0.047465	-0.144123	-0.866161	0.462100	0.178124	-0.892175	0.476508	-0.152525	-0.821213	0.851142	0.184082	-0.810694	0.848145	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.014275	0.015219	0.201230	0.018329	0.010793	0.252267	NaN	0.342145	
1	0.108685	-0.978532	0.077495	0.155547	-0.922711	0.104845	0.192745	-0.816874	0.044028	-0.089412	-0.979832	0.081859	-0.125291	-0.912730	0.099703	-0.143181	-0.815411	0.043248	-0.045969	-0.796437	0.047722	-0.144735	-0.867834	0.462287	0.178252	-0.892287	0.476499	-0.152720	-0.820949	0.851082	0.184073	-0.810231	0.848130	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.014275	0.014609	0.201841	0.016498	0.005300	0.252877	NaN	0.342145	
2	0.108654	-0.978562	0.077389	0.155497	-0.922796	0.104719	0.192766	-0.817008	0.043989	-0.089428	-0.979899	0.081740	-0.125343	-0.912976	0.099590	-0.143209	-0.815504	0.043195	-0.046484	-0.797195	0.047475	-0.145149	-0.869079	0.462319	0.178404	-0.892578	0.476397	-0.152714	-0.820582	0.850936	0.184106	-0.809912	0.847883	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.014275	0.013998	0.202146	0.016803	0.005910	0.251656	NaN	0.342145	
3	0.108666	-0.978667	0.077180	0.155465	-0.922904	0.104450	0.192773	-0.817102	0.043788	-0.089450	-0.979992	0.081493	-0.125323	-0.913293	0.099408	-0.143183	-0.815654	0.043053	-0.046100	-0.796953	0.047466	-0.145546	-0.870801	0.462437	0.178535	-0.892904	0.476215	-0.152798	-0.820327	0.850612	0.184103	-0.809635	0.847617	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.014275	0.015829	0.202451	0.014972	0.001943	0.250741	NaN	0.342145	
4	0.108731	-0.978719	0.077005	0.155494	-0.923050	0.104314	0.192750	-0.817222	0.043688	-0.089459	-0.980120	0.081321	-0.125330	-0.913348	0.099310	-0.143205	-0.815726	0.043007	-0.046146	-0.797038	0.047306	-0.146179	-0.872304	0.462504	0.178729	-0.893298	0.476060	-0.152982	-0.820116	0.850320	0.184130	-0.809372	0.847250	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.013970	0.015219	0.203367	0.015887	0.000417	0.250130	NaN	0.342145	
5	0.108726	-0.978734	0.076985	0.155562	-0.923120	0.104300	0.192814	-0.817250	0.043665	-0.089500	-0.980157	0.081262	-0.125405	-0.913379	0.099135	-0.143249	-0.815679	0.042985	-0.046230	-0.797143	0.047246	-0.146616	-0.873791	0.462690	0.179007	-0.893625	0.476049	-0.153035	-0.819906	0.850203	0.184273	-0.809084	0.847064	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.015191	0.009726	0.204893	0.017719	0.002248	0.250130	NaN	0.342145	
6	0.108767	-0.978750	0.077033	0.155593	-0.923150	0.104341	0.192800	-0.817161	0.043657	-0.089499	-0.980198	0.081313	-0.125471	-0.913340	0.099176	-0.143219	-0.815638	0.042995	-0.046109	-0.796974	0.047362	-0.147347	-0.875164	0.462867	0.179291	-0.893889	0.476122	-0.153169	-0.819691	0.850103	0.184243	-0.808783	0.846906	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.013360	0.007895	0.206724	0.013751	-0.003856	0.249520	NaN	0.342145	
7	0.108720	-0.978730	0.077135	0.155661	-0.923108	0.104496	0.192805	-0.817076	0.043792	-0.089544	-0.980172	0.081412	-0.125572	-0.913386	0.099124	-0.143266	-0.815571	0.043043	-0.046125	-0.796862	0.047520	-0.148047	-0.876346	0.463087	0.179503	-0.894064	0.476232	-0.153317	-0.819365	0.849987	0.184434	-0.808391	0.846972	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.013360	0.009116	0.206724	0.014972	0.004079	0.250435	NaN	0.342145	
8	0.108754	-0.978685	0.077226	0.155721	-0.923048	0.104556	0.192806	-0.816960	0.043849	-0.089561	-0.980170	0.081449	-0.125675	-0.913436	0.099192	-0.143277	-0.815519	0.043188	-0.046115	-0.796744	0.047695	-0.148740	-0.877762	0.463240	0.179785	-0.894167	0.476283	-0.153490	-0.819234	0.849846	0.184463	-0.808145	0.846936	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.015801	0.009421	0.210386	0.019244	-0.000499	0.249825	NaN	0.342145	
9	0.108748	-0.978707	0.077232	0.155796	-0.923068	0.104474	0.192879	-0.816934	0.043946	-0.089639	-0.980273	0.081426	-0.125788	-0.913570	0.099267	-0.143300	-0.815525	0.043223	-0.046100	-0.796641	0.047836	-0.149432	-0.878964	0.463361	0.180043	-0.894290	0.476252	-0.153498	-0.818968	0.849546	0.184539	-0.808008	0.846868	0.000000	0.000000	0.000000	0.000000	0.000000	0.856447	0.426606	NaN	-0.015801	0.009726	0.211912	0.015277	-0.008128	0.250130	NaN	0.342145	
