UDPV	// User ID
5-3-2021	// Evaluation date
UDLV_Constant_14_orientation	5-3-2021	15:23:38:089	// Source file name and timestamp
100.000	// Sampling rate
32.842	// Data capture period

0.020000	// MOE
0.573000	// BslLeft
0.552000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.157503	-0.961572	0.081013	0.198135	-0.912348	0.106003	0.220736	-0.801999	0.038123	-0.065952	-0.956530	0.077884	-0.112748	-0.907831	0.101240	-0.134180	-0.797373	0.038311	-0.033332	-0.778512	0.052096	0.210513	-0.898113	0.459617	-0.114827	-0.906283	0.463628	0.255640	-0.858820	0.849568	-0.142069	-0.876950	0.849331	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.043752	-0.010139	0.328817	0.043284	-0.005885	0.306751	NaN	0.220000	
1	0.157451	-0.961544	0.081058	0.198061	-0.912195	0.106024	0.220736	-0.801958	0.038081	-0.065954	-0.956467	0.077876	-0.112953	-0.907948	0.101148	-0.134238	-0.797314	0.038217	-0.033361	-0.778464	0.051998	0.210088	-0.897317	0.459646	-0.115284	-0.905477	0.463653	0.254917	-0.857259	0.849648	-0.142855	-0.874995	0.849312	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.042837	-0.008308	0.326376	0.048777	-0.005580	0.307361	NaN	0.220000	
2	0.157386	-0.961470	0.081146	0.197917	-0.912001	0.106136	0.220705	-0.801870	0.038092	-0.065989	-0.956441	0.077985	-0.113074	-0.907834	0.101142	-0.134266	-0.797274	0.038232	-0.033373	-0.778360	0.052020	0.209797	-0.896482	0.459790	-0.115817	-0.904444	0.463821	0.254135	-0.855745	0.849670	-0.143569	-0.873275	0.849484	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.044362	-0.008308	0.326376	0.048167	-0.005885	0.307972	NaN	0.220000	
3	0.157436	-0.961413	0.081340	0.197774	-0.911784	0.106288	0.220692	-0.801724	0.038164	-0.065945	-0.956358	0.078103	-0.112978	-0.907604	0.101178	-0.134327	-0.797225	0.038354	-0.033379	-0.778222	0.052064	0.209343	-0.895485	0.460037	-0.116283	-0.903497	0.463967	0.253277	-0.854193	0.849641	-0.144332	-0.871580	0.849734	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.044973	-0.006477	0.326376	0.044505	-0.006190	0.309193	NaN	0.220000	
4	0.157417	-0.961407	0.081470	0.197599	-0.911637	0.106425	0.220694	-0.801652	0.038271	-0.065980	-0.956301	0.078198	-0.113218	-0.907882	0.101413	-0.134377	-0.797262	0.038493	-0.033367	-0.778176	0.052128	0.208666	-0.894399	0.460246	-0.116643	-0.902630	0.464039	0.252715	-0.852536	0.849754	-0.145037	-0.870020	0.849902	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.043447	-0.006172	0.324850	0.046641	-0.002833	0.308582	NaN	0.220000	
5	0.157404	-0.961435	0.081569	0.197414	-0.911527	0.106551	0.220653	-0.801713	0.038345	-0.065947	-0.956276	0.078230	-0.113209	-0.907905	0.101552	-0.134333	-0.797270	0.038495	-0.033333	-0.778205	0.052172	0.208062	-0.893423	0.460435	-0.117057	-0.901631	0.464082	0.251956	-0.850906	0.849702	-0.145731	-0.868551	0.850006	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.043142	-0.004341	0.323324	0.049998	-0.001307	0.308887	NaN	0.220000	
6	0.157403	-0.961436	0.081611	0.197184	-0.911502	0.106655	0.220621	-0.801796	0.038375	-0.065935	-0.956241	0.078205	-0.113205	-0.908034	0.101606	-0.134327	-0.797263	0.038372	-0.033378	-0.778280	0.052167	0.207606	-0.892563	0.460516	-0.117476	-0.900672	0.464010	0.251248	-0.849421	0.849604	-0.146428	-0.867026	0.849947	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.043142	-0.003120	0.322104	0.046336	-0.001613	0.307972	NaN	0.220000	
7	0.157395	-0.961436	0.081673	0.197035	-0.911474	0.106719	0.220586	-0.801866	0.038308	-0.065946	-0.956255	0.078109	-0.113267	-0.908063	0.101543	-0.134332	-0.797340	0.038229	-0.033408	-0.778342	0.052062	0.207323	-0.891550	0.460442	-0.117789	-0.899657	0.463856	0.250657	-0.847814	0.849508	-0.146978	-0.865415	0.849768	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.043752	-0.000984	0.321493	0.043284	0.001134	0.307667	NaN	0.220000	
8	0.157327	-0.961414	0.081702	0.196873	-0.911376	0.106757	0.220625	-0.801829	0.038268	-0.065906	-0.956276	0.078027	-0.113284	-0.907973	0.101378	-0.134332	-0.797352	0.038082	-0.033359	-0.778361	0.051975	0.206895	-0.890580	0.460392	-0.118082	-0.898706	0.463714	0.249914	-0.846272	0.849390	-0.147548	-0.863714	0.849669	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.040700	0.002373	0.321188	0.047252	0.000219	0.308582	NaN	0.220000	
9	0.157128	-0.961242	0.081698	0.196704	-0.911251	0.106805	0.220780	-0.801599	0.038345	-0.065910	-0.956270	0.078021	-0.113279	-0.907902	0.101229	-0.134348	-0.797339	0.038088	-0.033391	-0.778346	0.051928	0.206184	-0.889463	0.460355	-0.118430	-0.897757	0.463733	0.249275	-0.844777	0.849428	-0.148204	-0.862155	0.849709	0.000000	0.000000	0.000000	0.000000	0.000000	0.708300	0.412520	NaN	-0.041921	0.000542	0.321493	0.046641	0.002050	0.309498	NaN	0.220000	
