UDPV	// User ID
10-3-2021	// Evaluation date
UDLV_LV_18_orientation	10-3-2021	10:37:09:232	// Source file name and timestamp
100.000	// Sampling rate
33.303	// Data capture period

0.020000	// MOE
0.571000	// BslLeft
0.564000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.114802	-0.718645	0.076796	0.157689	-0.664577	0.094977	0.200090	-0.556604	0.037243	-0.071791	-0.716272	0.074234	-0.109480	-0.665814	0.095580	-0.123320	-0.545343	0.035204	-0.020370	-0.537677	0.045260	-0.131410	-0.677331	0.465618	0.172665	-0.662724	0.472483	-0.163227	-0.635862	0.874836	0.197550	-0.619886	0.869393	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024669	-0.003547	0.317325	0.015918	0.003435	0.282950	NaN	0.213878	
1	0.114756	-0.718644	0.076925	0.157679	-0.664540	0.094991	0.200008	-0.556602	0.037279	-0.071813	-0.716235	0.074287	-0.109509	-0.665766	0.095655	-0.123275	-0.545217	0.035229	-0.020314	-0.537576	0.045361	-0.131559	-0.677047	0.465725	0.172574	-0.662656	0.472535	-0.163304	-0.635916	0.875016	0.197437	-0.620071	0.869423	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025890	-0.000495	0.316714	0.014697	0.002214	0.282340	NaN	0.213878	
2	0.114729	-0.718639	0.076978	0.157699	-0.664527	0.095065	0.199953	-0.556736	0.037338	-0.071812	-0.716179	0.074200	-0.109511	-0.665831	0.095684	-0.123331	-0.545321	0.035388	-0.020266	-0.537553	0.045450	-0.131712	-0.676788	0.465776	0.172524	-0.662644	0.472488	-0.163369	-0.635900	0.875134	0.197311	-0.620315	0.869358	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.026500	0.000115	0.316104	0.016223	0.002520	0.282035	NaN	0.213878	
3	0.114738	-0.718633	0.076884	0.157684	-0.664748	0.095184	0.200032	-0.556748	0.037389	-0.071757	-0.716245	0.074183	-0.109540	-0.665905	0.095754	-0.123437	-0.545527	0.035530	-0.020751	-0.538288	0.045477	-0.131688	-0.676583	0.465759	0.172433	-0.662706	0.472418	-0.163405	-0.635873	0.875152	0.197333	-0.620579	0.869295	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024059	0.000421	0.316409	0.016528	0.002520	0.282035	NaN	0.213878	
4	0.114784	-0.718691	0.076755	0.157620	-0.664946	0.095280	0.200071	-0.556904	0.037392	-0.071778	-0.716316	0.074141	-0.109584	-0.666129	0.095847	-0.123496	-0.545661	0.035562	-0.020616	-0.538281	0.045591	-0.131720	-0.676145	0.465628	0.172364	-0.662798	0.472313	-0.163458	-0.635786	0.875112	0.197271	-0.620776	0.869192	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024364	-0.002021	0.315799	0.015918	0.003130	0.282950	NaN	0.213878	
5	0.114776	-0.718699	0.076659	0.157593	-0.665030	0.095263	0.200044	-0.556975	0.037334	-0.071804	-0.716340	0.074084	-0.109640	-0.666239	0.095826	-0.123492	-0.545642	0.035522	-0.020490	-0.538179	0.045626	-0.131801	-0.675742	0.465574	0.172291	-0.662878	0.472278	-0.163506	-0.635812	0.875078	0.197179	-0.620961	0.869128	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025279	-0.004157	0.314883	0.015918	0.003435	0.283256	NaN	0.213878	
6	0.114762	-0.718687	0.076655	0.157543	-0.664973	0.095156	0.200064	-0.556883	0.037314	-0.071768	-0.716371	0.074139	-0.109637	-0.666163	0.095707	-0.123417	-0.545618	0.035457	-0.020521	-0.538183	0.045502	-0.131783	-0.675327	0.465463	0.172253	-0.662991	0.472361	-0.163540	-0.635722	0.875106	0.197161	-0.621119	0.869148	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.023448	-0.000190	0.316104	0.016223	0.002214	0.283866	NaN	0.213878	
7	0.114709	-0.718673	0.076759	0.157550	-0.664746	0.095092	0.200109	-0.556782	0.037321	-0.071795	-0.716272	0.074132	-0.109620	-0.665943	0.095647	-0.123393	-0.545558	0.035447	-0.020441	-0.537963	0.045402	-0.131830	-0.674963	0.465521	0.172166	-0.663015	0.472461	-0.163627	-0.635729	0.875228	0.197149	-0.621288	0.869217	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024974	-0.001411	0.314883	0.016223	0.003740	0.283866	NaN	0.213878	
8	0.114742	-0.718643	0.076879	0.157633	-0.664523	0.095046	0.200125	-0.556564	0.037311	-0.071806	-0.716201	0.074187	-0.109604	-0.665837	0.095614	-0.123308	-0.545378	0.035309	-0.020324	-0.537650	0.045373	-0.131860	-0.674691	0.465730	0.172142	-0.663051	0.472549	-0.163695	-0.635757	0.875406	0.197169	-0.621474	0.869301	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024669	-0.002326	0.314578	0.015613	0.002214	0.286918	NaN	0.213878	
9	0.114762	-0.718594	0.076957	0.157661	-0.664463	0.095024	0.200063	-0.556608	0.037287	-0.071847	-0.716237	0.074236	-0.109593	-0.665812	0.095581	-0.123257	-0.545293	0.035314	-0.020563	-0.537948	0.045371	-0.131933	-0.674251	0.465791	0.172136	-0.663072	0.472586	-0.163760	-0.635743	0.875556	0.197121	-0.621695	0.869341	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024974	0.000421	0.315189	0.015308	0.001909	0.285087	NaN	0.213878	
10	0.114722	-0.718598	0.076943	0.157629	-0.664552	0.095077	0.199985	-0.556755	0.037344	-0.071833	-0.716237	0.074150	-0.109577	-0.665882	0.095592	-0.123357	-0.545420	0.035439	-0.020805	-0.538311	0.045407	-0.132008	-0.673845	0.465785	0.172078	-0.663148	0.472532	-0.163799	-0.635744	0.875598	0.197032	-0.621909	0.869291	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025279	0.001336	0.314883	0.016223	0.000994	0.285697	NaN	0.213878	
11	0.114772	-0.718628	0.076820	0.157619	-0.664774	0.095177	0.200079	-0.556805	0.037363	-0.071819	-0.716209	0.073975	-0.109625	-0.665946	0.095617	-0.123433	-0.545616	0.035550	-0.020508	-0.537995	0.045604	-0.131930	-0.673363	0.465586	0.172051	-0.663258	0.472405	-0.163799	-0.635768	0.875524	0.196925	-0.622195	0.869193	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025584	-0.002326	0.313052	0.015613	0.001909	0.287223	NaN	0.213878	
12	0.114752	-0.718655	0.076721	0.157567	-0.664937	0.095213	0.199946	-0.557072	0.037314	-0.071787	-0.716292	0.073921	-0.109676	-0.666088	0.095737	-0.123433	-0.545747	0.035561	-0.020745	-0.538576	0.045697	-0.131955	-0.673087	0.465558	0.172029	-0.663341	0.472287	-0.163843	-0.635765	0.875444	0.196810	-0.622396	0.869130	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024669	-0.000800	0.313052	0.016528	0.001909	0.288749	NaN	0.213878	
13	0.114768	-0.718674	0.076668	0.157603	-0.665038	0.095205	0.200012	-0.557085	0.037298	-0.071793	-0.716333	0.073901	-0.109689	-0.666238	0.095755	-0.123432	-0.545716	0.035546	-0.020554	-0.538372	0.045735	-0.131949	-0.672777	0.465564	0.172044	-0.663380	0.472367	-0.163810	-0.635695	0.875416	0.196750	-0.622653	0.869197	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024669	0.001031	0.311526	0.015002	0.002520	0.289054	NaN	0.213878	
14	0.114753	-0.718646	0.076691	0.157574	-0.664920	0.095180	0.200130	-0.556902	0.037342	-0.071820	-0.716344	0.073996	-0.109708	-0.666048	0.095669	-0.123434	-0.545684	0.035532	-0.020736	-0.538534	0.045611	-0.131973	-0.672395	0.465523	0.172028	-0.663354	0.472454	-0.163799	-0.635684	0.875408	0.196698	-0.622876	0.869327	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.026805	-0.002021	0.310916	0.014697	0.000078	0.290275	NaN	0.213878	
15	0.114709	-0.718654	0.076823	0.157592	-0.664713	0.095155	0.200104	-0.556759	0.037338	-0.071825	-0.716349	0.074113	-0.109684	-0.665846	0.095637	-0.123340	-0.545555	0.035446	-0.020874	-0.538512	0.045424	-0.132161	-0.672068	0.465651	0.171915	-0.663278	0.472543	-0.163889	-0.635653	0.875486	0.196655	-0.623047	0.869447	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024974	-0.000800	0.310306	0.016833	0.000688	0.291495	NaN	0.213878	
16	0.114758	-0.718636	0.076953	0.157637	-0.664514	0.095093	0.200194	-0.556519	0.037313	-0.071822	-0.716284	0.074165	-0.109619	-0.665784	0.095580	-0.123274	-0.545414	0.035360	-0.020717	-0.538266	0.045383	-0.132275	-0.671576	0.465746	0.171941	-0.663207	0.472670	-0.164012	-0.635609	0.875649	0.196710	-0.623200	0.869582	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.024669	0.000726	0.310306	0.015613	0.000383	0.292106	NaN	0.213878	
17	0.114749	-0.718607	0.077018	0.157623	-0.664420	0.095046	0.200064	-0.556539	0.037293	-0.071850	-0.716224	0.074102	-0.109667	-0.665715	0.095580	-0.123240	-0.545323	0.035318	-0.020678	-0.538176	0.045402	-0.132343	-0.671179	0.465799	0.171841	-0.663109	0.472646	-0.164074	-0.635516	0.875753	0.196705	-0.623334	0.869612	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025890	-0.001105	0.309085	0.015918	-0.000227	0.293632	NaN	0.213878	
18	0.114783	-0.718658	0.076971	0.157628	-0.664594	0.095080	0.199933	-0.556829	0.037275	-0.071843	-0.716227	0.073982	-0.109642	-0.665787	0.095578	-0.123273	-0.545459	0.035422	-0.020723	-0.538264	0.045395	-0.132380	-0.670846	0.465756	0.171807	-0.663103	0.472557	-0.164060	-0.635451	0.875779	0.196682	-0.623502	0.869564	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025584	0.002557	0.308170	0.016223	0.000383	0.293326	NaN	0.213878	
19	0.114779	-0.718690	0.076837	0.157595	-0.664812	0.095179	0.200120	-0.556798	0.037317	-0.071835	-0.716282	0.073875	-0.109630	-0.665867	0.095573	-0.123352	-0.545654	0.035531	-0.020847	-0.538544	0.045517	-0.132370	-0.670471	0.465624	0.171731	-0.663120	0.472435	-0.164108	-0.635310	0.875651	0.196633	-0.623684	0.869507	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025584	0.003167	0.308780	0.015308	0.000383	0.295157	NaN	0.213878	
20	0.114720	-0.718644	0.076730	0.157495	-0.664947	0.095198	0.199992	-0.557114	0.037307	-0.071843	-0.716301	0.073823	-0.109766	-0.665965	0.095705	-0.123401	-0.545738	0.035564	-0.020807	-0.538741	0.045687	-0.132381	-0.670087	0.465552	0.171576	-0.663158	0.472394	-0.164223	-0.635131	0.875530	0.196538	-0.623972	0.869446	0.000000	0.000000	0.000000	0.000000	0.000000	0.714512	0.414285	NaN	-0.025584	-0.000800	0.306949	0.016833	0.001299	0.296683	NaN	0.213878	
