UDPV	// User ID
11-11-2020	// Evaluation date
UDLV_Constant_04_orientation	6-11-2020	13:55:31:198	// Source file name and timestamp
100.000	// Sampling rate
35.708	// Data capture period

0.020000	// MOE
0.656000	// BslLeft
0.691000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.116866	-0.969106	0.073120	0.177799	-0.915393	0.101027	0.239662	-0.811581	0.041666	-0.076568	-0.949034	0.067267	-0.128921	-0.888534	0.096851	-0.190291	-0.779770	0.044100	-0.089141	-0.735299	0.044027	0.178518	-0.843843	0.525116	-0.126543	-0.853286	0.510339	0.208981	-0.825058	0.950183	-0.159217	-0.808402	0.938124	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.038351	0.011100	0.285559	0.046197	-0.005442	0.372075	NaN	0.220000	
1	0.116885	-0.969112	0.073099	0.177754	-0.915296	0.100954	0.239563	-0.811451	0.041403	-0.076579	-0.949029	0.067254	-0.128882	-0.888373	0.096619	-0.190248	-0.779671	0.044011	-0.089125	-0.735199	0.043763	0.178418	-0.843672	0.525090	-0.126199	-0.852504	0.510087	0.208884	-0.824911	0.950164	-0.159227	-0.808326	0.938077	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037740	0.009880	0.285559	0.047418	-0.005442	0.371770	NaN	0.220000	
2	0.116833	-0.969093	0.073085	0.177945	-0.915361	0.101149	0.239605	-0.811381	0.041391	-0.076600	-0.949012	0.067275	-0.128877	-0.888316	0.096573	-0.190208	-0.779658	0.044004	-0.089133	-0.735172	0.043699	0.178589	-0.843683	0.525169	-0.126387	-0.852628	0.510182	0.208748	-0.824813	0.950133	-0.159352	-0.808329	0.938090	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.036825	0.011100	0.285864	0.047418	-0.006357	0.372380	NaN	0.220000	
3	0.116838	-0.969122	0.073090	0.177739	-0.915336	0.100988	0.239540	-0.811498	0.041442	-0.076571	-0.949029	0.067292	-0.128931	-0.888438	0.096718	-0.190195	-0.779686	0.044019	-0.089086	-0.735220	0.043767	0.178628	-0.843595	0.525202	-0.126398	-0.852615	0.510214	0.208684	-0.824681	0.950078	-0.159327	-0.808284	0.938003	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.038656	0.012016	0.286169	0.046197	-0.006052	0.374211	NaN	0.220000	
4	0.116878	-0.969108	0.073118	0.177689	-0.915401	0.101017	0.239783	-0.811530	0.041784	-0.076533	-0.949031	0.067311	-0.128919	-0.888592	0.096944	-0.190222	-0.779808	0.044191	-0.089105	-0.735397	0.044087	0.178598	-0.843491	0.525269	-0.126291	-0.852489	0.510241	0.208622	-0.824573	0.950073	-0.159443	-0.808362	0.938063	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037130	0.012626	0.286169	0.047113	-0.005442	0.373601	NaN	0.220000	
5	0.116874	-0.969117	0.073146	0.177634	-0.915472	0.101146	0.239881	-0.811572	0.042045	-0.076572	-0.949022	0.067338	-0.128902	-0.888697	0.097113	-0.190286	-0.779926	0.044355	-0.089075	-0.735432	0.044326	0.178577	-0.843422	0.525263	-0.127265	-0.853568	0.510645	0.208561	-0.824485	0.950084	-0.159549	-0.808367	0.938071	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037130	0.010490	0.287085	0.047418	-0.005442	0.372380	NaN	0.220000	
6	0.116882	-0.969162	0.073178	0.177686	-0.915547	0.101245	0.239864	-0.811576	0.042061	-0.076526	-0.949038	0.067365	-0.128926	-0.888812	0.097171	-0.190304	-0.779977	0.044420	-0.089074	-0.735395	0.044317	0.178576	-0.843371	0.525245	-0.126932	-0.853054	0.510522	0.208558	-0.824385	0.950078	-0.159534	-0.808351	0.938061	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037740	0.010185	0.288611	0.046197	-0.006052	0.370854	NaN	0.220000	
7	0.116861	-0.969153	0.073168	0.177685	-0.915471	0.101185	0.239721	-0.811653	0.041927	-0.076525	-0.949030	0.067371	-0.128971	-0.888831	0.097145	-0.190259	-0.779871	0.044332	-0.089133	-0.735366	0.044183	0.178601	-0.843294	0.525304	-0.126511	-0.852519	0.510340	0.208500	-0.824316	0.950032	-0.159620	-0.808356	0.938149	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037740	0.010185	0.288916	0.046808	-0.005442	0.369634	NaN	0.220000	
8	0.116887	-0.969146	0.073158	0.177841	-0.915416	0.101190	0.239636	-0.811601	0.041707	-0.076521	-0.949036	0.067340	-0.128900	-0.888524	0.096871	-0.190187	-0.779731	0.044123	-0.089111	-0.735230	0.043899	0.178616	-0.843290	0.525209	-0.126568	-0.852497	0.510301	0.208470	-0.824262	0.949976	-0.159675	-0.808370	0.938141	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037740	0.011711	0.290442	0.046808	-0.006052	0.369023	NaN	0.220000	
9	0.116899	-0.969124	0.073111	0.177778	-0.915329	0.100984	0.239654	-0.811450	0.041463	-0.076538	-0.949031	0.067316	-0.128863	-0.888289	0.096663	-0.190122	-0.779657	0.044010	-0.089053	-0.735211	0.043690	0.178615	-0.843268	0.525151	-0.126500	-0.852386	0.510252	0.208363	-0.824169	0.949889	-0.159634	-0.808295	0.938079	0.000000	0.000000	0.000000	0.000000	0.000000	0.785140	0.567140	NaN	-0.037740	0.008964	0.291662	0.044977	-0.005747	0.368108	NaN	0.220000	
