UDPV	// User ID
27-1-2021	// Evaluation date
UDLV_HV_12_orientation	27-1-2021	10:31:46:236	// Source file name and timestamp
100.000	// Sampling rate
35.784	// Data capture period

0.020000	// MOE
0.573000	// BslLeft
0.605000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.132819	-0.809415	0.068602	0.183765	-0.759980	0.095413	0.226169	-0.663545	0.042585	-0.027294	-0.805304	0.063020	-0.071366	-0.748045	0.096202	-0.108710	-0.644498	0.039350	-0.008987	-0.624623	0.050928	-0.084631	-0.713814	0.439169	0.216076	-0.733241	0.440399	-0.141235	-0.706428	0.797132	0.269914	-0.691118	0.791051	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.041776	-0.017873	0.339143	0.039763	0.009432	0.261209	NaN	0.342145	
1	0.132815	-0.809290	0.068859	0.183827	-0.759984	0.095612	0.226268	-0.663452	0.042844	-0.027327	-0.805075	0.063168	-0.071485	-0.748167	0.096531	-0.108759	-0.644545	0.039539	-0.008898	-0.624698	0.051108	-0.084661	-0.713788	0.439355	0.216138	-0.733186	0.440597	-0.141288	-0.706353	0.797349	0.270094	-0.691121	0.791373	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.041776	-0.018178	0.339448	0.040679	0.012179	0.260599	NaN	0.342145	
2	0.132755	-0.809320	0.068844	0.183935	-0.760136	0.095802	0.226268	-0.663567	0.043059	-0.027346	-0.805092	0.063163	-0.071655	-0.748464	0.096765	-0.108903	-0.644810	0.039763	-0.008930	-0.624776	0.051293	-0.084637	-0.713729	0.439296	0.216137	-0.733177	0.440565	-0.141216	-0.706263	0.797241	0.270124	-0.691186	0.791457	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.041471	-0.018789	0.338838	0.040374	0.011263	0.261209	NaN	0.342145	
3	0.132704	-0.809387	0.068638	0.183773	-0.760365	0.095817	0.226208	-0.663876	0.043049	-0.027345	-0.805176	0.063076	-0.071733	-0.748803	0.096748	-0.108999	-0.645177	0.039890	-0.009014	-0.624854	0.051389	-0.084477	-0.713654	0.438963	0.216155	-0.733302	0.440359	-0.141151	-0.706164	0.796984	0.270126	-0.691383	0.791278	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.042387	-0.020315	0.338532	0.039763	0.009127	0.260599	NaN	0.342145	
4	0.132776	-0.809391	0.068309	0.183748	-0.760479	0.095699	0.226212	-0.664150	0.042783	-0.027257	-0.805431	0.063181	-0.071823	-0.749053	0.096561	-0.109075	-0.645383	0.039809	-0.009058	-0.624929	0.051334	-0.084345	-0.713658	0.438707	0.216190	-0.733428	0.440162	-0.141028	-0.706078	0.796725	0.270122	-0.691597	0.791055	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.041166	-0.017873	0.337312	0.040984	0.010653	0.260599	NaN	0.342145	
5	0.132807	-0.809468	0.068211	0.183727	-0.760574	0.095511	0.226194	-0.664304	0.042532	-0.027218	-0.805560	0.063054	-0.071772	-0.749229	0.096355	-0.109020	-0.645270	0.039728	-0.009114	-0.624892	0.051175	-0.084284	-0.713636	0.438645	0.216176	-0.733577	0.440033	-0.140907	-0.706065	0.796581	0.270069	-0.691778	0.790801	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.042082	-0.015737	0.338838	0.039763	0.011569	0.259683	NaN	0.342145	
6	0.132866	-0.809411	0.068236	0.183866	-0.760345	0.095350	0.226153	-0.663919	0.042311	-0.027205	-0.805476	0.063002	-0.071625	-0.748779	0.096108	-0.108881	-0.644975	0.039401	-0.009043	-0.624762	0.051039	-0.084311	-0.713661	0.438746	0.216206	-0.733634	0.439970	-0.140888	-0.706090	0.796691	0.270185	-0.691878	0.790878	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.043607	-0.016653	0.336701	0.041899	0.010653	0.259683	NaN	0.342145	
7	0.132824	-0.809498	0.068455	0.183749	-0.760163	0.095326	0.226306	-0.663869	0.042407	-0.027310	-0.805318	0.062800	-0.071536	-0.748529	0.096122	-0.108802	-0.644719	0.039221	-0.008988	-0.624629	0.050901	-0.084263	-0.713587	0.438813	0.216261	-0.733653	0.440116	-0.140870	-0.706052	0.796893	0.270266	-0.691874	0.790987	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.042082	-0.021535	0.337312	0.040374	0.011263	0.258768	NaN	0.342145	
8	0.132874	-0.809386	0.068691	0.183764	-0.760053	0.095372	0.226316	-0.663628	0.042497	-0.027319	-0.805186	0.062965	-0.071390	-0.748174	0.096240	-0.108742	-0.644554	0.039294	-0.008872	-0.624592	0.050933	-0.084336	-0.713589	0.439068	0.216368	-0.733546	0.440330	-0.140833	-0.705993	0.797088	0.270387	-0.691845	0.791176	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.039640	-0.019704	0.337312	0.040068	0.010043	0.258768	NaN	0.342145	
9	0.132823	-0.809323	0.068828	0.183823	-0.760031	0.095544	0.226276	-0.663510	0.042690	-0.027327	-0.805113	0.063083	-0.071570	-0.748382	0.096522	-0.108859	-0.644676	0.039544	-0.008877	-0.624668	0.051069	-0.084304	-0.713527	0.439244	0.216402	-0.733514	0.440506	-0.140766	-0.705896	0.797178	0.270461	-0.691772	0.791363	0.000000	0.000000	0.000000	0.000000	0.000000	0.797447	0.382606	NaN	-0.042997	-0.015127	0.337007	0.040984	0.010958	0.260294	NaN	0.342145	
