UDPV	// User ID
11-11-2020	// Evaluation date
UDLV_LV_02_orientation	30-10-2020	16:39:25:634	// Source file name and timestamp
100.000	// Sampling rate
35.218	// Data capture period

0.020000	// MOE
0.626000	// BslLeft
0.609000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.156860	-0.906251	0.087303	0.205010	-0.847698	0.103523	0.249132	-0.739357	0.049477	-0.145442	-0.895136	0.078837	-0.190492	-0.835942	0.104686	-0.231360	-0.725664	0.044765	-0.125887	-0.683492	0.049568	-0.175566	-0.801255	0.544094	0.198848	-0.807652	0.537726	-0.172283	-0.752689	0.918550	0.202910	-0.759602	0.927161	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054776	-0.004331	0.372212	0.064526	-0.013817	0.370840	NaN	0.213878	
1	0.156941	-0.906284	0.087298	0.205038	-0.847748	0.103519	0.249128	-0.739366	0.049468	-0.145442	-0.895158	0.078833	-0.190534	-0.835966	0.104693	-0.231350	-0.725623	0.044742	-0.125835	-0.683538	0.049553	-0.175552	-0.801356	0.544081	0.198964	-0.807817	0.537746	-0.172283	-0.752805	0.918619	0.202812	-0.759773	0.927120	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.055386	-0.004331	0.372823	0.064221	-0.014122	0.371756	NaN	0.213878	
2	0.157023	-0.906339	0.087326	0.205054	-0.847711	0.103519	0.249136	-0.739375	0.049440	-0.145441	-0.895153	0.078807	-0.190523	-0.835960	0.104645	-0.231333	-0.725635	0.044719	-0.125827	-0.683523	0.049548	-0.175498	-0.801368	0.544067	0.199131	-0.807982	0.537820	-0.172248	-0.752946	0.918664	0.202776	-0.759900	0.927104	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054776	-0.002805	0.372823	0.063611	-0.015953	0.370840	NaN	0.213878	
3	0.156854	-0.906306	0.087252	0.205082	-0.847690	0.103484	0.249134	-0.739334	0.049451	-0.145431	-0.895147	0.078809	-0.190524	-0.835986	0.104642	-0.231304	-0.725628	0.044722	-0.125885	-0.683496	0.049525	-0.175511	-0.801470	0.544065	0.199174	-0.808164	0.537843	-0.172242	-0.753070	0.918676	0.202761	-0.760046	0.927110	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054776	-0.002500	0.372823	0.065136	-0.016563	0.370840	NaN	0.213878	
4	0.156967	-0.906348	0.087337	0.205092	-0.847769	0.103490	0.249155	-0.739388	0.049423	-0.145407	-0.895122	0.078806	-0.190444	-0.836025	0.104581	-0.231308	-0.725626	0.044709	-0.125887	-0.683562	0.049552	-0.175516	-0.801404	0.544030	0.199193	-0.808190	0.537829	-0.172207	-0.753249	0.918695	0.202827	-0.760212	0.927143	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.055386	-0.005246	0.373433	0.064221	-0.016563	0.370535	NaN	0.213878	
5	0.157009	-0.906390	0.087297	0.205099	-0.847762	0.103496	0.249059	-0.739308	0.049410	-0.145385	-0.895130	0.078800	-0.190465	-0.836044	0.104563	-0.231320	-0.725593	0.044685	-0.125866	-0.683521	0.049501	-0.175501	-0.801412	0.544025	0.199595	-0.808542	0.538049	-0.172147	-0.753443	0.918704	0.202743	-0.760300	0.927128	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054471	-0.004331	0.373128	0.063305	-0.015342	0.371146	NaN	0.213878	
6	0.156835	-0.906297	0.087241	0.205083	-0.847751	0.103486	0.249144	-0.739425	0.049480	-0.145454	-0.895146	0.078785	-0.190475	-0.836099	0.104580	-0.231338	-0.725640	0.044743	-0.125902	-0.683558	0.049527	-0.175477	-0.801436	0.544009	0.199602	-0.808603	0.538033	-0.172083	-0.753617	0.918711	0.202796	-0.760439	0.927172	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.055996	-0.004636	0.374654	0.063611	-0.016563	0.370535	NaN	0.213878	
7	0.156889	-0.906323	0.087262	0.205075	-0.847784	0.103491	0.249134	-0.739365	0.049443	-0.145496	-0.895107	0.078744	-0.190472	-0.836065	0.104598	-0.231339	-0.725599	0.044721	-0.125907	-0.683531	0.049594	-0.175445	-0.801430	0.544020	0.200139	-0.809035	0.538270	-0.171974	-0.753774	0.918689	0.202847	-0.760580	0.927181	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.055691	-0.004941	0.374348	0.064526	-0.018394	0.370840	NaN	0.213878	
8	0.157049	-0.906408	0.087291	0.205099	-0.847792	0.103523	0.249136	-0.739356	0.049476	-0.145455	-0.895220	0.078762	-0.190479	-0.836081	0.104623	-0.231335	-0.725641	0.044761	-0.125862	-0.683561	0.049585	-0.175450	-0.801455	0.544011	0.200075	-0.809003	0.538228	-0.171893	-0.753988	0.918694	0.202940	-0.760757	0.927245	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054776	-0.005551	0.375569	0.063916	-0.016868	0.371146	NaN	0.213878	
9	0.157050	-0.906396	0.087286	0.205097	-0.847713	0.103496	0.249116	-0.739414	0.049464	-0.145449	-0.895169	0.078782	-0.190449	-0.836046	0.104587	-0.231324	-0.725680	0.044776	-0.125949	-0.683497	0.049577	-0.175351	-0.801404	0.544012	0.199969	-0.808978	0.538145	-0.171767	-0.754123	0.918684	0.203056	-0.760887	0.927253	0.000000	0.000000	0.000000	0.000000	0.000000	0.769512	0.459285	NaN	-0.054471	-0.004331	0.374043	0.063611	-0.016563	0.371756	NaN	0.213878	
