UDPV	// User ID
13-1-2021	// Evaluation date
UDLV_LV_10_orientation	13-1-2021	15:50:04:935	// Source file name and timestamp
100.000	// Sampling rate
32.057	// Data capture period

0.020000	// MOE
0.593000	// BslLeft
0.619000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.172260	-0.825810	0.086851	0.222687	-0.767929	0.112413	0.266810	-0.656150	0.060656	-0.034656	-0.901057	0.083224	-0.094529	-0.852684	0.110393	-0.164100	-0.736800	0.052751	-0.062204	-0.699182	0.056077	-0.133058	-0.826936	0.491684	0.203209	-0.760321	0.505895	NaN	NaN	NaN	0.192624	-0.815887	0.891989	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.027839	0.023403	0.204618	0.035724	-0.025373	0.451235	NaN	0.213878	
1	0.172232	-0.825822	0.086864	0.222675	-0.767898	0.112406	0.266791	-0.656132	0.060670	-0.034658	-0.901059	0.083191	-0.094518	-0.852677	0.110361	-0.164135	-0.736815	0.052751	-0.062238	-0.699183	0.056129	-0.133020	-0.826925	0.491717	0.203332	-0.760151	0.505948	NaN	NaN	NaN	0.192773	-0.815687	0.892006	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.025398	0.022182	0.203397	0.036640	-0.024458	0.451845	NaN	0.213878	
2	0.172245	-0.825788	0.086851	0.222657	-0.767881	0.112403	0.266776	-0.656141	0.060681	-0.034654	-0.901063	0.083174	-0.094493	-0.852704	0.110340	-0.164169	-0.736862	0.052746	-0.062279	-0.699193	0.056135	-0.132811	-0.826774	0.491633	0.203326	-0.760005	0.505913	NaN	NaN	NaN	0.193000	-0.815483	0.891991	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.022651	0.021267	0.203092	0.036640	-0.027509	0.453066	NaN	0.213878	
3	0.172287	-0.825767	0.086872	0.222657	-0.767855	0.112409	0.266738	-0.656159	0.060674	-0.034644	-0.901060	0.083158	-0.094515	-0.852727	0.110355	-0.164151	-0.736869	0.052757	-0.062270	-0.699218	0.056145	-0.132844	-0.826939	0.491723	0.203297	-0.759811	0.505897	NaN	NaN	NaN	0.193136	-0.815316	0.891973	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.026008	0.019741	0.201871	0.036945	-0.029035	0.454897	NaN	0.213878	
4	0.172259	-0.825742	0.086896	0.222615	-0.767793	0.112422	0.266741	-0.656134	0.060687	-0.034646	-0.901055	0.083161	-0.094564	-0.852835	0.110404	-0.164197	-0.736878	0.052784	-0.062230	-0.699237	0.056172	-0.132698	-0.826848	0.491698	0.203392	-0.759647	0.505906	NaN	NaN	NaN	0.193450	-0.815209	0.891985	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.023567	0.024624	0.201566	0.036335	-0.032392	0.456118	NaN	0.213878	
5	0.172250	-0.825750	0.086925	0.222541	-0.767708	0.112424	0.266718	-0.656126	0.060687	-0.034633	-0.901065	0.083156	-0.094519	-0.852786	0.110387	-0.164162	-0.736911	0.052736	-0.062228	-0.699186	0.056216	-0.132570	-0.826830	0.491777	0.203496	-0.759523	0.505909	NaN	NaN	NaN	0.194117	-0.815170	0.892096	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.022346	0.027981	0.200345	0.035724	-0.028120	0.457033	NaN	0.213878	
6	0.172265	-0.825706	0.086918	0.222550	-0.767686	0.112435	0.266716	-0.656117	0.060647	-0.034616	-0.901081	0.083166	-0.094454	-0.852702	0.110364	-0.164175	-0.736866	0.052777	-0.062258	-0.699220	0.056122	-0.132400	-0.826646	0.491816	0.203550	-0.759370	0.505892	NaN	NaN	NaN	0.194268	-0.815082	0.892146	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.024788	0.024624	0.198514	0.038471	-0.028120	0.457643	NaN	0.213878	
7	0.172271	-0.825684	0.086940	0.222572	-0.767671	0.112440	0.266740	-0.656093	0.060670	-0.034604	-0.901039	0.083175	-0.094414	-0.852640	0.110379	-0.164218	-0.736891	0.052808	-0.062229	-0.699204	0.056141	-0.132226	-0.826440	0.491769	0.203653	-0.759293	0.505874	NaN	NaN	NaN	0.194279	-0.814956	0.892159	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.022346	0.019131	0.198514	0.037250	-0.035749	0.457643	NaN	0.213878	
8	0.172252	-0.825709	0.086961	0.222615	-0.767660	0.112459	0.266710	-0.656064	0.060643	-0.034587	-0.901038	0.083197	-0.094470	-0.852597	0.110366	-0.164140	-0.736836	0.052727	-0.062293	-0.699213	0.056082	-0.132097	-0.826309	0.491811	0.203773	-0.759234	0.505857	NaN	NaN	NaN	0.194046	-0.814744	0.892118	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.019600	0.022182	0.199735	0.035114	-0.031477	0.457643	NaN	0.213878	
9	0.172224	-0.825740	0.086980	0.222665	-0.767732	0.112468	0.266728	-0.656051	0.060620	-0.034608	-0.901043	0.083219	-0.094446	-0.852619	0.110396	-0.164203	-0.736903	0.052783	-0.062276	-0.699222	0.056089	-0.131921	-0.826125	0.491844	0.203941	-0.759143	0.505850	NaN	NaN	NaN	0.194264	-0.814610	0.892137	0.000000	0.000000	0.000000	0.000000	0.000000	0.736512	0.469285	NaN	-0.023262	0.025539	0.199735	0.036640	-0.028425	0.457338	NaN	0.213878	
