UDPV	// User ID
11-11-2020	// Evaluation date
UDLV_HV_05_orientation	6-11-2020	15:35:17:831	// Source file name and timestamp
100.000	// Sampling rate
38.166	// Data capture period

0.020000	// MOE
0.656000	// BslLeft
0.650000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.149651	-0.872391	0.089672	0.204415	-0.813864	0.117897	0.255661	-0.712380	0.045510	-0.107216	-0.879090	0.088654	-0.151030	-0.820890	0.114659	-0.196802	-0.712349	0.041896	-0.080178	-0.681127	0.048456	0.200934	-0.769493	0.525601	-0.140536	-0.761632	0.520808	0.227804	-0.713493	0.905531	-0.153377	-0.700160	0.896002	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.061900	0.000278	0.385432	0.058018	-0.011703	0.347097	NaN	0.213878	
1	0.149620	-0.872420	0.089821	0.204272	-0.813943	0.118058	0.255629	-0.712394	0.045672	-0.107221	-0.879085	0.088760	-0.151070	-0.820989	0.114825	-0.196876	-0.712350	0.042036	-0.080221	-0.681230	0.048634	0.200831	-0.769392	0.525664	-0.140561	-0.761645	0.520946	0.227695	-0.713456	0.905553	-0.153418	-0.700006	0.896043	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.060680	-0.003079	0.385737	0.064121	-0.013228	0.346181	NaN	0.213878	
2	0.149645	-0.872432	0.089979	0.204283	-0.813931	0.118177	0.255609	-0.712353	0.045681	-0.107216	-0.879033	0.088830	-0.151084	-0.820816	0.114792	-0.196896	-0.712233	0.042073	-0.080150	-0.681204	0.048805	0.201027	-0.769434	0.525942	-0.140624	-0.761737	0.521168	0.227734	-0.713490	0.905662	-0.153294	-0.699922	0.895910	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.059764	0.005466	0.387568	0.064731	-0.010177	0.348623	NaN	0.213878	
3	0.149642	-0.872461	0.090038	0.204276	-0.813842	0.118162	0.255711	-0.712221	0.045664	-0.107192	-0.879085	0.088949	-0.151150	-0.820674	0.114662	-0.196879	-0.712136	0.041986	-0.080126	-0.681198	0.048712	0.200945	-0.769391	0.525931	-0.140670	-0.761757	0.521269	0.227673	-0.713509	0.905668	-0.153211	-0.699839	0.895706	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.064037	0.003330	0.386958	0.058933	-0.012923	0.347097	NaN	0.213878	
4	0.149671	-0.872427	0.089999	0.204375	-0.813766	0.118064	0.255663	-0.712072	0.045516	-0.107204	-0.879066	0.088926	-0.151069	-0.820573	0.114509	-0.196894	-0.712036	0.041826	-0.080148	-0.681109	0.048498	0.200938	-0.769432	0.525896	-0.140666	-0.761760	0.521273	0.227777	-0.713530	0.905661	-0.153320	-0.699749	0.895612	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.063121	0.000889	0.385432	0.061069	-0.012313	0.347402	NaN	0.213878	
5	0.149658	-0.872362	0.089885	0.204323	-0.813782	0.117943	0.255684	-0.712058	0.045338	-0.107157	-0.879071	0.088785	-0.150993	-0.820490	0.114347	-0.196783	-0.711973	0.041563	-0.080142	-0.681059	0.048352	0.200981	-0.769461	0.525785	-0.140653	-0.761713	0.521078	0.227795	-0.713520	0.905581	-0.153333	-0.699718	0.895637	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.058238	0.000889	0.386347	0.063816	-0.010787	0.348318	NaN	0.213878	
6	0.149674	-0.872410	0.089706	0.204453	-0.813849	0.117836	0.255701	-0.712167	0.045275	-0.107168	-0.879074	0.088589	-0.150942	-0.820614	0.114303	-0.196795	-0.712076	0.041558	-0.080216	-0.681035	0.048234	0.200919	-0.769504	0.525542	-0.140579	-0.761740	0.520858	0.227766	-0.713498	0.905527	-0.153359	-0.699846	0.895823	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.062816	0.000583	0.386347	0.061985	-0.010482	0.347707	NaN	0.213878	
7	0.149644	-0.872382	0.089649	0.204364	-0.813817	0.117857	0.255667	-0.712274	0.045345	-0.107198	-0.879102	0.088630	-0.151014	-0.820732	0.114483	-0.196800	-0.712128	0.041724	-0.080188	-0.681053	0.048302	0.200777	-0.769412	0.525474	-0.140620	-0.761663	0.520765	0.227723	-0.713470	0.905538	-0.153386	-0.699857	0.895963	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.065257	0.001804	0.384211	0.060459	-0.012313	0.348318	NaN	0.213878	
8	0.149680	-0.872409	0.089707	0.204300	-0.813895	0.117945	0.255638	-0.712393	0.045578	-0.107200	-0.879102	0.088661	-0.151027	-0.820929	0.114690	-0.196842	-0.712322	0.041935	-0.080163	-0.681150	0.048503	0.200872	-0.769472	0.525579	-0.140474	-0.761633	0.520783	0.227648	-0.713499	0.905531	-0.153413	-0.699880	0.896042	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.058238	-0.000332	0.385432	0.063206	-0.015365	0.349233	NaN	0.213878	
9	0.149643	-0.872463	0.089869	0.204240	-0.813985	0.118078	0.255684	-0.712390	0.045737	-0.107234	-0.879074	0.088739	-0.151023	-0.820968	0.114787	-0.196896	-0.712361	0.042035	-0.080092	-0.681257	0.048769	0.200958	-0.769489	0.525836	-0.140609	-0.761684	0.521023	0.227693	-0.713532	0.905622	-0.153280	-0.699790	0.895958	0.000000	0.000000	0.000000	0.000000	0.000000	0.656000	0.650000	NaN	-0.060680	-0.001553	0.385432	0.061680	-0.009872	0.348623	NaN	0.213878	
