UDPV	// User ID
21-1-2021	// Evaluation date
UDLV_Constant_11_orientation	21-1-2021	14:31:16:305	// Source file name and timestamp
100.000	// Sampling rate
41.250	// Data capture period

0.020000	// MOE
0.708000	// BslLeft
0.704000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.100773	-0.764906	0.063778	0.159841	-0.702713	0.102057	0.197179	-0.588727	0.043032	-0.069989	-0.773835	0.063715	-0.128969	-0.717747	0.103022	-0.165222	-0.593619	0.045050	-0.064247	-0.556458	0.050242	-0.152074	-0.651869	0.531828	0.190741	-0.652032	0.544931	-0.185518	-0.602129	0.926945	0.207719	-0.577206	0.918849	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.033813	-0.008706	0.403228	0.030283	-0.023649	0.373891	NaN	0.220000	
1	0.100607	-0.764789	0.064211	0.159740	-0.702656	0.102635	0.197219	-0.588350	0.043449	-0.070102	-0.773609	0.064059	-0.129211	-0.717625	0.103414	-0.165311	-0.593463	0.045391	-0.064285	-0.556431	0.050236	-0.152173	-0.651678	0.532174	0.190805	-0.652015	0.545424	-0.185542	-0.602087	0.927167	0.207875	-0.577276	0.919404	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.033813	-0.009317	0.402617	0.030283	-0.020597	0.374807	NaN	0.220000	
2	0.100477	-0.764755	0.064444	0.159843	-0.702801	0.103215	0.197203	-0.588381	0.043901	-0.070132	-0.773499	0.064354	-0.129501	-0.717911	0.103823	-0.165481	-0.593570	0.045825	-0.064349	-0.556425	0.050105	-0.152206	-0.651553	0.532352	0.190939	-0.652124	0.545839	-0.185636	-0.602387	0.927558	0.207964	-0.577425	0.919717	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034729	-0.009927	0.402312	0.032114	-0.019376	0.375417	NaN	0.220000	
3	0.100455	-0.764749	0.064450	0.159881	-0.703128	0.103593	0.197172	-0.588594	0.044198	-0.070188	-0.773547	0.064418	-0.129696	-0.718431	0.104248	-0.165683	-0.593830	0.046067	-0.064329	-0.556463	0.050111	-0.152165	-0.651697	0.532265	0.190908	-0.652242	0.545913	-0.185773	-0.602808	0.927789	0.207944	-0.577720	0.919768	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034119	-0.008706	0.402007	0.031198	-0.019987	0.373281	NaN	0.220000	
4	0.100497	-0.764969	0.064245	0.159929	-0.703420	0.103438	0.197294	-0.588969	0.044064	-0.070191	-0.773690	0.064129	-0.129708	-0.718903	0.104129	-0.165702	-0.594247	0.045980	-0.064305	-0.556438	0.050227	-0.152123	-0.651926	0.531982	0.190904	-0.652521	0.545451	-0.185821	-0.603276	0.927785	0.207897	-0.578149	0.919443	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034424	-0.009012	0.402312	0.030283	-0.022123	0.374501	NaN	0.220000	
5	0.100755	-0.765054	0.063795	0.159868	-0.703585	0.102766	0.197308	-0.589155	0.043621	-0.070147	-0.773810	0.063631	-0.129442	-0.718788	0.103649	-0.165613	-0.594438	0.045678	-0.064215	-0.556451	0.050340	-0.151915	-0.652325	0.531700	0.190944	-0.652853	0.544940	-0.185683	-0.603638	0.927464	0.207881	-0.578538	0.919086	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.035950	-0.011148	0.403228	0.027841	-0.018156	0.374807	NaN	0.220000	
6	0.100875	-0.765250	0.063651	0.159876	-0.703504	0.102126	0.197441	-0.589209	0.043198	-0.069987	-0.774054	0.063519	-0.129197	-0.718459	0.103111	-0.165440	-0.594391	0.045309	-0.064172	-0.556459	0.050394	-0.151842	-0.652559	0.531594	0.190995	-0.653141	0.544653	-0.185417	-0.603749	0.927182	0.207841	-0.578970	0.918654	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034424	-0.012368	0.402922	0.031503	-0.021207	0.374196	NaN	0.220000	
7	0.100870	-0.765142	0.063452	0.159931	-0.703217	0.101777	0.197368	-0.589043	0.042849	-0.070139	-0.773856	0.063354	-0.129039	-0.718186	0.102834	-0.165218	-0.594042	0.044909	-0.064185	-0.556455	0.050371	-0.151857	-0.652624	0.531595	0.191015	-0.653244	0.544569	-0.185184	-0.603634	0.926919	0.207966	-0.579298	0.918666	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034424	-0.012674	0.402617	0.032724	-0.022733	0.373586	NaN	0.220000	
8	0.100802	-0.765079	0.063600	0.159919	-0.703021	0.101803	0.197210	-0.588841	0.042834	-0.070059	-0.773925	0.063595	-0.129060	-0.717887	0.102898	-0.165199	-0.593688	0.044972	-0.064278	-0.556476	0.050286	-0.151945	-0.652546	0.531721	0.191031	-0.653324	0.544866	-0.185096	-0.603543	0.926831	0.207986	-0.579611	0.918965	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.035339	-0.013589	0.403228	0.028146	-0.017240	0.373281	NaN	0.220000	
9	0.100618	-0.764959	0.063928	0.159836	-0.702902	0.102304	0.197242	-0.588409	0.043320	-0.070135	-0.773688	0.063937	-0.129176	-0.717627	0.103185	-0.165403	-0.593587	0.045384	-0.064352	-0.556435	0.050096	-0.151894	-0.652434	0.531894	0.191148	-0.653353	0.545277	-0.185171	-0.603652	0.927150	0.208133	-0.579767	0.919551	0.000000	0.000000	0.000000	0.000000	0.000000	0.837140	0.580140	NaN	-0.034729	-0.013589	0.404143	0.029367	-0.018461	0.375112	NaN	0.220000	
