UDPV	// User ID
30-11-2020	// Evaluation date
UDLV_LV_03_orientation	30-11-2020	13:57:13:820	// Source file name and timestamp
100.000	// Sampling rate
37.751	// Data capture period

0.020000	// MOE
0.665000	// BslLeft
0.670000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
0	0.112829	-0.852211	0.066623	0.182810	-0.788728	0.098377	0.241294	-0.675565	0.045782	-0.128708	-0.857048	0.070327	-0.182814	-0.791683	0.108386	-0.222113	-0.666625	0.049297	-0.116128	-0.627475	0.052094	-0.181392	-0.755973	0.517611	0.198676	-0.759657	0.518474	-0.178597	-0.712418	0.910592	0.187980	-0.721004	0.915691	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.052663	-0.008303	0.400354	0.054833	-0.020020	0.379096	NaN	0.213878	
1	0.112785	-0.852195	0.066657	0.182763	-0.788729	0.098412	0.241263	-0.675578	0.045823	-0.128726	-0.857052	0.070393	-0.182839	-0.791608	0.108456	-0.222088	-0.666624	0.049329	-0.116193	-0.627490	0.052115	-0.181461	-0.755806	0.517636	0.198532	-0.759457	0.518474	-0.178627	-0.712445	0.910589	0.187944	-0.721017	0.915770	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.049917	-0.004641	0.399134	0.050256	-0.014527	0.380317	NaN	0.213878	
2	0.112782	-0.852188	0.066686	0.182810	-0.788672	0.098461	0.241249	-0.675522	0.045854	-0.128702	-0.857038	0.070419	-0.182821	-0.791511	0.108454	-0.222082	-0.666665	0.049363	-0.116194	-0.627499	0.052116	-0.181499	-0.755633	0.517662	0.198517	-0.759291	0.518536	-0.178843	-0.712429	0.910638	0.187888	-0.720978	0.915798	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.052053	-0.005251	0.398828	0.051171	-0.013917	0.380927	NaN	0.213878	
3	0.112764	-0.852198	0.066694	0.182791	-0.788674	0.098469	0.241274	-0.675520	0.045896	-0.128587	-0.857048	0.070373	-0.182847	-0.791582	0.108509	-0.222068	-0.666636	0.049417	-0.116182	-0.627528	0.052090	-0.181510	-0.755472	0.517662	0.198424	-0.759160	0.518504	-0.178886	-0.712408	0.910645	0.187832	-0.720946	0.915794	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.053274	-0.006777	0.398523	0.056664	-0.016664	0.381843	NaN	0.213878	
4	0.112804	-0.852193	0.066720	0.182797	-0.788662	0.098435	0.241300	-0.675569	0.045871	-0.128679	-0.857030	0.070397	-0.182836	-0.791614	0.108500	-0.222033	-0.666656	0.049428	-0.116116	-0.627458	0.052097	-0.181560	-0.755351	0.517673	0.198475	-0.759028	0.518465	-0.178876	-0.712397	0.910714	0.187831	-0.720959	0.915757	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.049306	-0.004641	0.397913	0.052392	-0.015748	0.380012	NaN	0.213878	
5	0.112834	-0.852242	0.066697	0.182817	-0.788632	0.098389	0.241297	-0.675607	0.045798	-0.128693	-0.857066	0.070327	-0.182848	-0.791666	0.108470	-0.222034	-0.666586	0.049392	-0.116045	-0.627429	0.052022	-0.181641	-0.755242	0.517690	0.198457	-0.758893	0.518400	-0.178696	-0.712415	0.910696	0.187788	-0.720941	0.915672	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.050832	-0.005862	0.398218	0.047509	-0.016053	0.380622	NaN	0.213878	
6	0.112846	-0.852256	0.066639	0.182753	-0.788668	0.098313	0.241308	-0.675617	0.045754	-0.128583	-0.857159	0.070263	-0.182840	-0.791630	0.108442	-0.222016	-0.666678	0.049345	-0.116075	-0.627438	0.052010	-0.181684	-0.755161	0.517652	0.198389	-0.758769	0.518295	-0.178701	-0.712405	0.910675	0.187747	-0.720963	0.915632	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.053274	-0.007998	0.396997	0.055749	-0.015748	0.380012	NaN	0.213878	
7	0.112820	-0.852246	0.066582	0.182768	-0.788672	0.098331	0.241294	-0.675627	0.045737	-0.128727	-0.857096	0.070252	-0.182842	-0.791613	0.108414	-0.222018	-0.666713	0.049318	-0.116121	-0.627489	0.051982	-0.181714	-0.754969	0.517566	0.198348	-0.758678	0.518280	-0.178771	-0.712396	0.910676	0.187700	-0.720969	0.915605	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.051443	-0.004641	0.398218	0.056054	-0.015748	0.380317	NaN	0.213878	
8	0.112824	-0.852207	0.066591	0.182736	-0.788671	0.098383	0.241269	-0.675619	0.045772	-0.128627	-0.857138	0.070291	-0.182727	-0.791318	0.108397	-0.222062	-0.666657	0.049311	-0.116108	-0.627476	0.052050	-0.181712	-0.754809	0.517545	0.198328	-0.758548	0.518386	-0.178805	-0.712380	0.910655	0.187646	-0.720934	0.915716	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.050527	-0.006167	0.397303	0.048120	-0.016664	0.381537	NaN	0.213878	
9	0.112790	-0.852194	0.066648	0.182793	-0.788613	0.098467	0.241258	-0.675567	0.045871	-0.128733	-0.857056	0.070376	-0.182880	-0.791638	0.108488	-0.222029	-0.666689	0.049383	-0.116138	-0.627487	0.052110	-0.181692	-0.754576	0.517502	0.198271	-0.758426	0.518419	-0.179039	-0.712394	0.910712	0.187686	-0.720886	0.915844	0.000000	0.000000	0.000000	0.000000	0.000000	0.808512	0.520285	NaN	-0.052968	-0.006472	0.397608	0.051171	-0.019105	0.380622	NaN	0.213878	
